p_id,week,name,brand,product,company,type,category,time,expiry_days,ingr,food_color,flavor,location,allergen,nw,energy,energyfat,protein,carbs,sugar,sugars,fat,st,tf,mufa,pufa,maltilol,sodium,fibre,cf,df,cholesterol,salt,iron,potassium,calcium,iodine,vita,vitab1,vitab2,vitab3,vitab5,vitab6,vitab7,vitab12,vitac,vitd,vite,folic,folate,zinc,chromium,selenium,magnesium,phosphorus,Pantothenate,Moisture,Total Ash,Polyols,Acid Insoluble Ash
1,week1,KurKure Naughty Tomato,KurKure,Naughty Tomato,Pepsico Inc USA,Veg,Namkeen Snack,4,48,"Rice Meal,Edible Vegetable Oil-Palmolein Oil,Corn Meal,Gram Meal, Tomato Powder,Chilli Powder,Onion Powder,Spices Extract,Black Pepper Powder,Ginger Powder,Cinnamon Powder,Clove Powder,Nutmeg Powder,Beetroot Powder,Sugar,Salt,Citric Acid-330",Not Mentioned,Yes,Pune,Not Mentioned,47g,557 Kcal,,5.3g,56.2g,3.8g,,34.6g,16.1g,0.1g,,,,920mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,week1,KurKure Chilli Chatka,KurKure,Chilli Chatka,Pepsico Inc USA,Veg,Namkeen Snack,4,48,"Rice Meal,Edible Vegetable Oil-Palmolein Oil,Corn Meal,Gram Meal, Chilli Powder,Onion Powder,Fennel powder,Ajwain powder,Cumin Powder,Garlic Powder,Coriander Powder,Black Pepper Powder,Spice extract,Fengreek powder,Sugar,Salt,Citric Acid-330
",Not Mentioned,Yes,Pune,Not Mentioned,47g,559 Kcal,,5.8g,56.2g,2.0g,,34.5g,16.0g,0.1g,,,,680mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,week1,Rajaram Masala Peanuts,Rajaram,Masala Peanuts,Not Mentioned,Veg,Namkeen Snack,3,36,"Roasted Peanuts,Refined Edible Oil,Asafoetida,Chilli Powder,Black Pepper Powder,Turmeric Powder,Curry Leaves,Salt,Other Spices and Condiments",Not Mentioned,Not Mentioned,Chennai,"Peanut,Traces of Sesame Seeds & Other Nuts due to Shared Equipment",100g,590 Kcal,,25.0g,14.0g,2.0g,,44.0g,,,,,,,,3.1g,,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,week1,Haldiram Moong Dal,Haldiram,Moong Dal,Not Mentioned,Veg,Namkeen Snack,7,84,"Split Pulse Mong (Mong Dal),Refined Cotton Seed Oil,Iodised Salt",Not Mentioned,Not Mentioned,Nagpur,"Peanut,Tree Nuts,Sesame Seed,Milk,Soya,Mustard Seed,Gluten",18g,476 Kcal,,21.31g,50.66g,0g,,20.93g,5.64g,0g,3.81g,8.61g,,390mg,,,7.52g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,week1,Madura Foods Peanut,Madura Foods,Peanut,Not Mentioned,Veg,Peanut Snack,2,24,"Bengal Gram Flour,Rice Flour,Vegetable Oil,Salt,Asafoetida,Pepper,Ginger,Curry Leaves,Chilly Powder",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,150g,,,10.18g,52.51g,,,30.93g,,,,,,,,,,Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,week1,Rajaram Groundnut Sweets,Rajaram,Groundnut Sweets,Not Mentioned,Veg,Peanut Snack,3,36,"Groundnut,Jaggery,Sugar,Glucose",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,75g,492 Kcal,,15g,47.4g,,,,,,,,,,,0.4g,,0,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,
7,week1,Haldiram Tasty Nuts,Haldiram,Tasty Nuts,Not Mentioned,Veg,Namkeen Snack,5,60,"Groundnut,Redefined Palmolein Oil,Bengal Gram Flour-Besan,Maiza Starch,Iodised Salt,Red Chilli,Acidity Regulator-INS 330,Turmeric,Black Salt,Black Pepper,Dried Ginger Powder,Cardamom,Cumin,Cinnamon,Clove,Bay Leaves,Nutmeg,Asafoetida",Not Mentioned,Not Mentioned,Nagpur,"Gluten,Treenuts,Seasame seed,Milk,Soya,Mustard seed",50g,624 Kcal,,21.24g,23.34g,0g,,49.53g,8.39g,0g,19.82g,13.08g,,493mg,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,week1,Rajaram GroundNut Cubes ,Rajaram,GroundNut Cubes,Not Mentioned,Veg,Peanut Snack,3,36,"Groundnut,Jaggery,Cardamom,Sugar,Liquid Glucose",Not Mentioned,Not Mentioned,Chennai,"Peanut,Almond,Pistachio,Cashew,Soy,Milk,Sesame",,524 Kcal,,9.8g,58.8g,49.8g,,27.7g,9.8g,0g,,,,67.2mg,,0.4g,,0,,2.4g,298.6mg,166mg,,,,,,,,,,,,,,,,,,,,,,,,
9,week1,Meiji Yam Yam,Meiji,Yam Yam,Not Mentioned,Veg,Confectionery,12,144,"Wheat Flour,Edible Vegetable Oil,Interesterified Super Palm Oil,Soya Bean Oil,High oleic Sunflower Oil,Palmolein Oil,Palm Oil,Hydrogenated Vegetable Oil -Rapeseed Oil,Sugar,MilkSolids,Iodised Salt,Emulsifier-INS 472e ,Emulsifier-INS 322,Leavening Agent-INS 500(ii),Leavening Agent- INS 503(ii), Flour Treatment Agent-INS 1101(ii) ,Yeast",Not Mentioned,Vanilla-0.03% & Sugar,Ramanagara ,Not Mentioned,25g,491.4 Kcal,,8.0g,68.3g,17.7g,,20.8g,,,7.6g,4.6g,,484.3mg,,,,0.0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,week1,Joule Foods Banyard Millet Cookies,Joule Foods,Banyard Millet Cookies,Not Mentioned,Veg,Cookies,3,36,"Barnyard Millet Flour,Sucrose,Whole Wheat Flour,Vegetable Oil,Salt",Not Mentioned,Not Mentioned,Coimbatore,Not Mentioned,150g,510.7 Kcal,,6.85g,61.03g,,,20.56g,,,,,,,0.210g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
